id,rooms,address,price,lat,lon,canton
261,3.5,"Fahrweid, Brunaustrasse 160",2165,47.4125356,8.4179182,zurich
262,4.5,"Zürich, Rieterstrasse 79",3530,47.3547891,8.5262492,zurich
263,2.5,"Dübendorf, Höglerstr. 44",1850,47.3977133,8.6148248,zurich
264,1,"Zürich, Badenerstrasse 356",2550,47.3787237,8.5097045,zurich
265,5.5,"Uster, Zürichstrasse 2",4350,47.3513913,8.7092950,zurich
266,3.5,"Meilen, Ormisstr. 75",2210,47.2711842,8.6507599,zurich
267,3.5,"Bonstetten, Im Heumoos 25",2235,47.3240880,8.4691320,zurich
268,N/A,"Zürich, Rotachstrasse 33",2104,47.3707232,8.5146785,zurich
269,3.5,"Winterthur, Schützenstrasse 40",1735,47.5024206,8.7189508,zurich
270,4.5,"8620 Wetzikon ZH, Contact agency for the address",2200,47.3176448,8.8027509,zurich
271,3.5,"8406 Winterthur, Contact agency for the address",3100,47.4874773,8.7064006,zurich
272,3,"8903 Birmensdorf ZH, Contact agency for the address",2200,47.3568576,8.4302599,zurich
273,2,"Zürich, Grubenackerstrasse 71",2130,47.4189435,8.5528365,zurich
274,3.5,"Zürich, Seefeldstrasse 28",5141,47.3635619,8.5491321,zurich
275,3.5,"Rümlang, Ifangstr. 66",1240,47.4493989,8.5354630,zurich
276,2.5,"8708 Männedorf, Contact agency for the address",2620,47.2521331,8.6959028,zurich
277,4.5,"Laupen ZH, Speerstrasse 21",1550,47.2664967,8.9228465,zurich
278,1.5,"Zürich, Hohlstr. 511",2380,47.3892822,8.4935001,zurich
279,3,"Zürich, Schaffhauserstrasse 230 A",2500,47.4022346,8.5470152,zurich
280,4.5,"8152 Opfikon, Contact agency for the address",3235,47.4318571,8.5752920,zurich
281,2.5,"8307 Effretikon, Contact agency for the address",2300,47.4281973,8.6868917,zurich
282,3.5,"8052 Zürich, Contact agency for the address",2680,47.4239398,8.5431074,zurich
283,4.5,"Dübendorf, Zipartenstr. 41",2280,47.3947133,8.6049403,zurich
284,4.5,"Eglisau, Quentlistr. 71",2350,47.5723550,8.5185257,zurich
285,4.5,"8304 Wallisellen, Contact agency for the address",2950,47.4171272,8.5846529,zurich
286,4.5,"8625 Gossau ZH, Contact agency for the address",2140,47.3067819,8.7557311,zurich
287,4,"Rüti ZH, Eichwiesstr. 52",1870,47.2502744,8.8420904,zurich
288,1.5,"Uster, Oberlandstrasse 58",1666,47.3554623,8.7135949,zurich
289,2,"Glattbrugg, Lindenstrasse 15",1433,47.4301907,8.5638915,zurich
290,2.5,"8820 Wädenswil, Contact agency for the address",2700,47.2295891,8.6713336,zurich
291,5.5,"Langnau am Albis, Wildenbühlstr. 14a",3250,47.2834340,8.5366447,zurich
292,1.5,"Urdorf, Feldstr. 43",1190,47.3893326,8.4255581,zurich
293,3,"Zollikerberg, Waldstrasse 18",1277,47.3433688,8.5949120,zurich
294,3.5,"Zumikon, Peteracher 2",2180,47.3370939,8.6145619,zurich
295,4.5,"Adliswil, Albisstr. 12",2950,47.3111033,8.5250591,zurich
296,1,"Winterthur, Hulfteggstr. 16",800,47.4913023,8.7530877,zurich
297,2.5,"Zürich, Ackersteinstrasse 26",2610,47.3958207,8.5131018,zurich
298,3.5,"Winterthur, Barbara Reinhart-Strasse 28",2150,47.5042365,8.7621857,zurich
299,3.5,"Zürich, Im Brächli 35",2100,47.3601745,8.5814386,zurich
300,2.5,"Zürich, Fritz Fleiner - Weg 11",3515,47.3813077,8.5622357,zurich
301,3.5,"Winterthur, Solarstrasse 5",2740,47.5020336,8.7661201,zurich
302,2.5,"Zürich, Kreuzstrasse 54",4000,47.3640816,8.5522548,zurich
303,3.5,"8463 Benken ZH, Contact agency for the address",2250,47.6593851,8.6595086,zurich
304,N/A,"Zürich, Gerechtigkeitsgasse 8",3328,47.3698259,8.5317969,zurich
305,2.5,"Pfäffikon ZH, Pilatusstrasse 8",1850,47.3642210,8.7839870,zurich
306,3.5,"Wallisellen, Zwickystrasse 2",2870,47.4055117,8.6020610,zurich
307,3.5,"Rüti ZH, Eichwiesstr. 54",2060,47.2499901,8.8418194,zurich
308,4.5,"Zürich, Stockerstrasse 8",7800,47.3651592,8.5366128,zurich
309,2,"Zürich, Biberlinstrasse 6",2100,47.3629849,8.5687067,zurich
310,3.5,"Horgen, Fabrikgasse 4",3390,47.2484285,8.6076554,zurich
311,2.5,"Winterthur, Stadthausstrasse 12",1800,47.5001690,8.7267670,zurich
312,3.5,"Winterthur, Riedhofstr. 47",1700,47.5127253,8.6938139,zurich
313,1.5,"Zürich, Gutstr. 1",2330,47.3700830,8.5094595,zurich
314,2,"Winterthur, Weststr. 129",1240,47.5096341,8.7055034,zurich
315,4.5,"Wetzikon ZH, Tösstalstr. 114",1900,47.3290560,8.8223852,zurich
316,4.5,"Zumikon, Ankenbüel 4",4512,47.3266081,8.6322871,zurich
317,2.5,"8708 Männedorf, Contact agency for the address",2270,47.2597733,8.6862291,zurich
318,2.5,"Zürich, Schaffhauserstr. 438",2340,47.4165938,8.5454376,zurich
319,2,"Zürich, Forchstrasse 127",2291,47.3608134,8.5622870,zurich
320,4,"Zürich, Limmattalstr. 280",2520,47.4034865,8.4906819,zurich
