id,rooms,address,price,lat,lon,canton
"200,4,""Grosshöchstetten, Talackerweg 27"",960,46.9116430,7.6295450,berne"
"201,3.5,""Langenthal, Waldhofstrasse 30"",1135,47.2158629,7.7961182,berne"
"202,3.5,""Lyss, Lagerweg 10"",1190,47.0791586,7.3067836,berne"
"203,4.5,""Reconvilier, chemin de la Coperie 4"",1645,47.2309054,7.2295421,berne"
"204,2.5,""Moutier, Prévôté 1"",880,47.2790826,7.3714468,berne"
"205,4.5,""St-Imier, Passage de la Raissette 10"",1400,47.1569697,7.0083525,berne"
"206,3,""Wichtrach, Stadelfeldstrasse 31"",1490,46.8438374,7.5698282,berne"
"207,2.5,""Tramelan, Rue de la Gare 28"",1050,47.2232133,7.1046323,berne"
"208,4.5,""Moutier, Champs-Forts 26"",970,47.2728150,7.3567088,berne"
"209,4,""Langenthal, Waldhofstrasse 24"",1285,47.2161866,7.7964316,berne"
"210,2.5,""Liebefeld, Schwarzenburgstr. / Geb. A 73/"",1600,46.9290872,7.4239867,berne"
"211,2.5,""Langenthal, Marktgasse 2"",1710,47.2130765,7.7896181,berne"
"212,4.5,""Zollikofen, Buchsweg 2"",2435,46.9959547,7.4571165,berne"
"213,3.5,""Thun, Länggasse 59c"",1650,46.7492348,7.6172572,berne"
"214,4,""Bremgarten b. Bern, Bündackerstrasse 30"",2120,46.9757419,7.4274259,berne"
"215,1,""Biel-Bienne, Meisenweg 8"",390,47.1350700,7.2597852,berne"
"216,2.5,""Moutier, Bellevue 6"",700,47.2803307,7.3673515,berne"
"217,4.5,""Schliern b. Köniz, Schaufelweg 11"",1600,46.9104629,7.4155106,berne"
"218,4.5,""Jegenstorf, Bernstrasse 57"",2365,47.0433360,7.5047271,berne"
"219,1,""Biel-Bienne, Bözingenstr. 138"",730,47.1485914,7.2758119,berne"
"220,1,""Biel-Bienne, Zentralstrasse 55"",500,47.1441300,7.2476228,berne"
"221,3.5,""Crémines, Grand-Rue 28"",680,47.2825038,7.4397805,berne"
"222,3.5,""3422 Alchenflüh, Contact agency for the address"",1700,47.0832485,7.5773398,berne"
"223,1,""St-Imier, Route de Mont-Soleil 22"",475,47.1505653,6.9906796,berne"
"224,3,""Biel-Bienne, Mattenstrasse 5"",1150,47.1339893,7.2485480,berne"
"225,4.5,""3550 Langnau im Emmental, Contact agency for the address"",1690,46.9381628,7.7975576,berne"
"226,1,""Liebefeld, Stationsstrasse 21"",868,46.9293517,7.4179384,berne"
"227,2,""Biel-Bienne, Schollstrasse 3-13"",830,47.1423899,7.2729450,berne"
"228,4.5,""Malleray, La Lignière 25"",1171,47.2371720,7.2746787,berne"
"229,4.5,""Frinvillier, Rue du Canal 5"",1290,47.1682789,7.2533147,berne"
"230,2,""Burgdorf, Bernstrasse 33"",1100,47.0529268,7.6202801,berne"
"231,2.5,""Wangen an der Aare, Breitmattstrasse 5"",1300,47.2299454,7.6501127,berne"
"232,2,""Bern, Laubeggstr. 141"",1200,46.9450712,7.4712435,berne"
"233,3.5,""Biel-Bienne, Madretschstr. 108"",1270,47.1358055,7.2574968,berne"
"234,2.5,""Stettlen, Bernstr C 95c"",1090,46.9584800,7.5228300,berne"
"235,3,""Langenthal, Bleichestrasse 14"",1075,47.2083850,7.7854470,berne"
"236,5.5,""Langnau im Emmental, Zürchermatte BE 153'040 13"",1750,46.9438592,7.7740102,berne"
"237,4.5,""Lyss, Feldegg 10"",1180,47.0689048,7.2996341,berne"
"238,2.5,""Burgdorf, Oberburgstrasse 100"",970,47.0453600,7.6212810,berne"
"239,3.5,""Muri b. Bern, Kranichweg 16"",1630,46.9351812,7.4892845,berne"
